old_id,new_classification,row_id
5,4,158498
15,4,7666
72,0,172961
78,3,128495
86,1,94702
88,1,94704
187,1,158124
202,4,4555
217,1,8310
219,1,8312
220,1,8313
222,1,8314
223,1,8316
232,1,105689
233,1,105690
234,1,105691
235,1,105692
251,1,178038
291,0,21515
322,0,69316
323,0,69317
324,0,69318
325,0,69319
326,0,69320
327,0,69321
328,0,69322
329,0,69323
330,0,69324
331,0,69325
332,0,69326
333,0,69327
334,0,69328
335,0,69329
336,0,69330
337,0,69331
338,0,69332
339,0,69333
340,0,69334
341,0,69335
342,0,69336
343,0,69337
344,0,69338
345,0,69339
346,0,69340
347,0,69341
348,0,69342
349,0,69343
350,0,69344
351,0,69345
352,0,69346
353,0,69347
354,0,69348
355,0,69349
356,0,69350
357,0,69351
358,0,69352
359,0,69353
391,0,34823
392,0,72759
393,0,72760
394,0,72761
395,0,72762
396,0,72763
397,0,72764
398,0,72765
399,0,72766
400,0,72767
401,0,72768
402,0,72769
403,0,72770
404,0,72771
405,0,72772
406,0,72773
407,0,72774
408,0,72775
409,0,72776
410,0,72777
411,0,72778
412,0,72779
413,0,72780
414,0,72781
415,0,72782
416,0,72783
417,0,72784
418,0,72785
419,0,72786
420,0,72787
421,0,72788
422,0,72789
423,0,72790
424,0,72791
425,0,72792
426,0,72793
427,0,72794
428,0,72795
429,0,72796
430,0,72797
431,4,72798
432,0,72799
433,0,72800
434,0,72801
435,0,72802
436,0,72803
451,4,29147
452,4,29148
485,2,14907
486,2,14908
487,2,14909
488,2,14910
489,2,14911
490,2,14912
491,2,14913
492,2,14914
493,2,14915
494,2,14916
495,2,14917
496,2,14918
497,2,14919
498,2,14920
518,0,4925
519,2,4926
525,0,4932
529,0,4936
530,0,4937
531,0,4938
532,4,4939
533,4,4940
534,4,4941
535,4,4942
536,4,4943
537,0,4944
538,0,4945
539,0,4946
540,4,4947
541,4,4948
542,4,4949
543,4,4950
544,4,4951
545,4,4952
546,0,4953
547,0,4954
548,0,4955
549,0,4956
550,0,4957
551,0,4958
552,0,4959
553,4,56461
554,4,56462
555,4,56463
558,4,56466
559,4,56467
561,4,56469
563,4,56471
564,4,56472
568,0,79927
569,0,79928
570,0,79929
571,0,79930
572,0,79931
573,0,79932
665,2,114519
666,0,114520
667,0,114521
668,0,114522
669,0,114523
670,0,114524
671,0,114525
672,0,114526
673,0,114527
678,0,22941
690,0,22953
697,0,22960
698,0,22961
699,0,22962
700,0,22963
701,0,22964
702,0,22965
703,0,22966
704,0,22967
705,0,22968
744,2,86847
745,2,86848
746,2,86849
747,2,86850
756,0,86859
771,4,185185
872,0,32511
873,4,32512
895,0,146766
896,0,146767
910,0,172031
911,0,172032
940,4,156946
941,4,156947
942,4,156948
951,4,51549
952,0,132860
953,0,132861
954,4,132862
955,4,132863
957,4,132865
980,0,58989
984,4,10740
992,1,112671
993,1,112672
995,1,58953
1019,0,177347
1074,0,84379
1075,0,84380
1076,0,84381
1077,0,84382
1078,0,84383
1079,0,84384
1080,0,84385
1081,0,84386
1082,0,84387
1083,0,84388
1084,0,84389
1085,0,84390
1086,0,84391
1087,0,84392
1088,0,84393
1089,0,84394
1090,0,84395
1091,2,84396
1137,0,122398
1138,0,122399
1139,0,122400
1140,0,122401
1141,0,122402
1142,0,122403
1143,0,122404
1144,0,122405
1145,0,122406
1146,0,122407
1147,0,122408
1148,0,122409
1149,2,9350
1150,4,9351
1151,4,9352
1175,4,110651
1190,4,141633
1230,1,162164
1231,1,162165
1254,0,7736
1305,0,176875
1306,0,176876
1307,0,176877
1308,0,176878
1309,0,176879
1310,0,176880
1311,0,176881
1312,0,176882
1313,0,176883
1314,0,176884
1315,0,176885
1316,0,176886
1317,0,176887
1318,0,176888
1319,0,176889
1320,0,176890
1321,0,176891
1322,0,176892
1323,0,176893
1325,0,176895
1332,4,180212
1356,1,95169
1357,2,95170
1358,1,95171
1359,1,95172
1360,1,95173
1372,4,5747
1386,0,185718
1433,4,19551
1472,0,10827
1473,0,10828
1476,0,104947
1477,0,104948
1478,0,104949
1479,0,104950
1483,0,104954
1489,4,105010
1507,0,97296
1508,0,97297
1541,1,104031
1542,1,104032
1553,4,142599
1554,4,142600
1555,4,142601
1556,4,142602
1557,4,142603
1558,4,142604
1559,4,142605
1560,4,142606
1561,4,142607
1562,4,142608
1593,0,88122
1596,0,21234
1597,0,21235
1598,0,21236
1599,0,21237
1600,0,21238
1601,0,21239
1633,4,19152
1655,4,152407
1707,0,54818
1711,4,54822
1741,0,44209
1742,0,44210
1743,0,44211
1761,0,42105
1762,0,42106
1763,0,42107
1764,0,42108
1766,0,42109
1767,0,42111
1768,0,42112
1769,0,42113
1770,0,42114
1771,0,42115
1772,0,42116
1773,0,42117
1774,0,42118
1775,0,42119
1776,0,42120
1777,0,42121
1778,0,42122
1779,0,42123
1780,0,42124
1781,0,42125
1782,0,42126
1783,0,42127
1784,0,42128
1785,0,42129
1786,0,42130
1787,0,42131
1788,0,42132
1789,0,42133
1790,0,42134
1791,0,42135
1792,0,42136
1793,0,42137
1794,0,42138
1795,0,42139
1796,0,42140
1797,0,42141
1798,0,42142
1799,0,42143
1800,0,42144
1802,4,104753
1840,0,73766
1889,0,60911
1905,0,140991
1906,0,140992
1908,0,140994
1909,0,140995
1910,0,140996
1911,0,140997
1912,0,140998
1940,1,37767
1941,1,37768
1942,1,37769
1943,1,37770
1944,1,37771
1961,2,37788
1962,2,37789
1963,2,37790
1964,2,37791
1965,2,37792
1966,2,37793
1967,2,37794
1972,0,37799
1973,0,37800
1974,0,37801
1975,0,37802
1976,0,37803
1977,0,37804
1979,0,37806
1980,0,37807
1981,0,37808
1982,0,37809
1983,0,37810
1984,0,37811
1985,2,37812
1994,2,19960
2017,0,172216
2018,2,172217
2030,4,134218
2032,0,34852
2066,5,59891
2067,5,59892
2068,5,59893
2121,0,133111
2130,4,44557
2162,5,185538
2207,1,42533
2208,1,42534
2209,1,42535
2210,1,42536
2211,1,42537
2949,0,177556
2950,0,177557
2965,4,122769
2980,4,122001
2991,4,82363
2994,4,82366
2995,4,82367
3012,0,100587
3020,0,23319
3083,2,184160
3133,1,176333
3172,0,129312
3181,4,98937
3196,0,151074
3198,0,151076
3199,0,151077
3200,0,151078
3205,0,151083
3212,0,151090
3216,1,148381
3223,0,15018
3227,4,78678
3229,4,78680
3259,0,39939
3260,0,39940
3261,0,39941
3262,0,39942
3263,0,39943
3264,0,39944
3265,0,39945
3266,0,39946
3267,0,39947
3268,0,39948
3277,0,121177
3278,0,121178
3324,0,133749
3325,0,133750
3327,0,133752
3328,0,133753
3355,4,57946
3378,4,131924
3417,5,86143
3420,1,175898
3424,1,101385
3428,4,181745
3441,1,2727
3444,4,79844
3510,5,117990
3516,1,117996
3533,0,9567
3576,4,5113
3583,4,77955
3656,0,139015
3657,0,139016
3658,0,139017
3659,0,139018
3660,0,139019
3661,0,139020
3662,0,139021
3663,0,139022
3664,0,139023
3665,0,139024
3666,0,139025
3667,0,139026
3668,0,139027
3669,0,139028
3670,0,139029
3671,0,139030
3673,0,139032
3676,0,87774
3677,1,87775
3681,4,70069
3690,2,178519
3754,0,159686
3761,4,50
3832,2,107666
3876,1,58880
3877,1,58881
3878,1,58882
3897,0,64570
3907,1,82326
3908,1,82327
3936,1,110142
3948,2,39972
3955,4,115729
3960,4,126907
3961,4,126908
3988,4,155323
4007,4,31332
4009,0,10831
4011,0,10833
4048,0,98694
4049,0,98695
4050,0,98696
4051,0,98697
4052,0,98698
4053,0,98699
4054,0,98700
4055,0,98701
4056,0,98702
2212,1,42538
2213,1,42539
2214,1,42540
2215,1,42541
2216,1,42542
2217,1,42543
2218,1,42544
2219,1,42545
2244,1,89600
2274,4,117828
2275,0,183748
2280,4,105706
2281,4,105707
2283,4,105709
2284,4,105710
2311,1,144158
2327,1,144174
2336,4,47197
2338,4,1294
2340,4,65631
2344,4,178650
2345,4,178651
2352,0,101916
2359,0,153515
2360,0,153516
2361,4,153517
2362,4,153518
2363,4,153519
2468,0,51291
2517,0,80914
2519,0,80916
2584,4,168213
2585,4,168214
2586,4,168215
2588,0,1029
2589,0,1030
2593,2,90056
2595,2,90058
2596,0,90059
2633,2,129182
2651,0,144618
2681,1,40363
2682,1,40364
2683,1,40365
2722,4,158696
2723,4,158697
2724,1,158698
2780,4,111686
2787,4,23423
2793,4,107570
2802,4,47117
2812,1,118001
2818,0,180759
2821,4,99340
2853,4,80862
2854,0,16480
2879,0,175649
2880,0,175650
2887,0,175657
2888,0,175658
2889,0,175659
2890,0,175660
2891,0,175661
2892,0,175662
2893,0,175663
2894,0,175664
2895,0,175665
2896,0,175666
2897,0,175667
2898,0,175668
2899,0,175669
2900,0,175670
2901,0,175671
2902,0,175672
2903,0,175673
2904,0,175674
2925,2,177532
2926,2,177533
2927,1,177534
2928,1,177535
2929,1,177536
2930,1,177537
2931,2,177538
2932,2,177539
2933,2,177540
2934,2,177541
2935,2,177542
2936,2,177543
2937,2,177544
2938,2,177545
2939,2,177546
2940,2,177547
2941,0,177548
2942,0,177549
2943,0,177550
2944,0,177551
2945,0,177552
2946,0,177553
2947,0,177554
2948,1,177555
4057,0,98703
4058,0,98704
4059,0,98705
4060,0,98706
4061,0,98707
4062,0,98708
4063,0,98709
4064,0,98710
4065,0,98711
4074,4,152133
4077,4,152136
4128,0,127700
4129,0,127701
4130,0,127702
4131,2,127703
4132,0,127704
4133,0,127705
4134,0,127706
4135,0,127707
4138,1,125989
4142,0,113657
4146,0,165742
4147,0,165743
4148,0,165744
4149,0,165745
4155,0,62516
4156,0,62517
4157,0,62518
4173,4,103894
4192,0,83102
4196,1,44147
4271,1,50799
4273,1,50801
4274,1,50802
4283,0,177142
4284,0,177143
4285,0,177144
4286,0,177145
4287,0,177146
4288,0,177147
4289,4,69079
4300,1,44739
4307,1,162245
4311,1,103447
4325,0,26772
4333,0,110781
4334,0,110782
4336,0,110784
4337,0,110785
4338,0,110786
4339,0,110787
4340,0,110788
4345,0,92830
4349,0,92834
4361,0,77054
4362,0,77055
4363,0,77056
4364,0,77057
4367,0,77060
4368,0,77061
4369,0,77062
4370,0,77063
4371,0,77064
4372,0,77065
4373,0,77066
4374,0,77067
4375,0,77068
4376,0,77069
4377,0,77070
4378,0,77071
4379,0,77072
4380,0,77073
4381,0,77074
4382,0,77075
4383,0,77076
4384,0,77077
4385,0,77078
4386,0,77079
4387,0,77080
4388,0,77081
4389,0,77082
4390,0,77083
4391,0,77084
4392,0,77085
4393,0,77086
4401,4,85598
4426,0,181285
4439,4,133298
4490,1,124125
4495,4,154055
4496,1,70615
4512,1,167492
4513,1,167493
4528,0,12536
4550,0,50405
4551,0,50406
4597,4,794
4610,4,146424
4644,0,184358
4645,1,184357
4690,0,134798
4691,0,134799
4692,0,134800
4693,0,134801
4694,0,134802
4695,0,134803
4696,0,134804
4697,0,134805
4698,1,134806
4699,1,134807
4700,1,134808
4716,2,134824
4717,2,134825
4718,2,134826
4719,2,134827
4720,2,134828
4721,0,134829
4722,0,134830
4723,0,134831
4724,0,134832
4757,1,78439
4764,0,109069
4775,1,135255
4783,1,180143
4784,1,180144
4785,0,180145
4787,0,180146
4788,0,180148
4790,0,180149
4791,1,180151
4792,1,180152
4811,2,88106
4812,0,88107
4813,0,88108
4814,0,88109
4815,4,88110
4817,4,88113
4818,4,88112
4825,4,38720
4897,0,132520
4905,4,109656
4908,1,12631
4922,4,64179
4923,4,64180
4945,0,33853
4946,0,33854
4947,0,33855
4949,0,33857
4951,0,33859
4963,0,178926
4964,0,178927
4975,4,52823
4977,4,52825
4987,0,39629
5021,2,173484
5049,1,2313
5093,1,64081
5109,4,169485
5123,2,169743
5184,1,61746
5185,0,61747
5235,0,32803
5251,1,64142
5267,0,112297
5284,0,17376
5292,0,17384
5333,4,32788
5340,1,179141
5398,0,95740
5399,0,95741
5400,0,95742
5401,0,95743
5482,4,158951
5543,4,127108
5550,0,117709
5554,0,176534
5556,0,176536
5560,0,176540
5585,0,151113
5605,0,75916
5648,0,26225
5649,0,26226
5650,0,26227
5651,0,26228
5665,0,26242
5832,0,160730
5853,1,120493
5862,0,65524
5863,0,65525
5887,2,47871
5936,0,102152
5937,1,157993
5938,1,157994
5942,4,152422
5956,4,106063
5958,4,106065
5971,0,84639
5972,0,84640
5973,0,84641
5996,2,42003
6528,4,170639
6529,4,170640
6543,0,182505
6544,0,182506
6545,0,182507
6546,0,182508
6547,0,182509
6557,1,45555
6579,0,45577
6580,0,45578
6581,0,45579
6582,0,45580
6583,0,45581
6584,0,45582
6585,0,45583
6586,0,45584
6587,0,45585
6588,0,45586
6589,0,45587
6590,0,45588
6591,0,45589
6596,0,102175
6617,4,157174
6623,1,69122
6624,1,69123
6625,1,69124
6626,1,69125
6627,1,69126
6628,1,69127
6673,0,105098
6674,0,105099
6675,0,105100
6688,4,97003
6693,4,182047
6720,4,13674
6748,0,10393
6749,0,10394
6750,0,10395
6751,0,10396
6752,0,10397
6753,0,10398
6754,1,10399
6755,1,10400
6756,1,10401
6757,1,10402
6761,0,3777
6766,1,98363
6772,4,121950
6774,4,53230
6806,1,58171
6813,4,11356
6845,1,61675
6880,0,74303
6881,0,74304
6882,0,74305
6883,0,74306
6884,0,74307
6885,0,74308
6886,0,74309
6887,0,74310
6888,0,74311
6889,0,74312
6890,0,74313
6891,0,74314
6892,0,74315
6893,0,74316
6894,0,74317
6895,0,74318
6896,0,74319
6897,0,74320
6898,0,74321
6899,0,74322
6900,0,74323
6901,0,74324
6902,0,74325
6903,0,74326
6904,0,74327
6905,2,74328
6906,2,74329
6907,2,74330
6908,2,74331
6909,2,74332
6910,2,74333
6911,2,74334
6912,2,74335
6913,2,74336
6914,2,74337
6915,2,74338
6916,0,74339
6917,0,74340
6918,0,74341
6919,0,74342
6920,0,74343
6921,0,74344
6922,0,74345
6923,0,74346
6924,0,74347
6925,0,74348
6926,0,74349
6927,0,74350
5997,2,42004
6000,0,42007
6001,0,42008
6002,0,42009
